city,title,gender,rating,district,facilities,original_price,discount_price,full_card_text
Bandung,Kost Safana UNPAD Tipe C,Putri,4.6,Jatinangor,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.275.000,Rp1.175.000,Putri | 4.6 | Sisa 1 kamar | Kost Safana UNPAD Tipe C | Jatinangor | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 100rb | Rp1.275.000 | Rp1.175.000 | (Bulan pertama)
Bandung,Kost Griya Aspen Dago Pakar Tipe A,Putra,,Cimenyan,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp2.425.000,Rp2.137.000,Putra | Kost Griya Aspen Dago Pakar Tipe A | Cimenyan | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 288rb | Rp2.425.000 | Rp2.137.000 | (Bulan pertama)
Bandung,Kost Damai 3 Holis 218 Tipe A,Campur,5.0,Bandung Kulon,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.375.000,Rp1.213.000,Campur | 5.0 | Kost Damai 3 Holis 218 Tipe A | Bandung Kulon | WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 162rb | Rp1.375.000 | Rp1.213.000 | (Bulan pertama)
Bandung,Kost Mahdis House Telkom Tipe A,Putra,,Dayeuhkolot,WiFi·Kasur,Rp875.000,Rp773.000,Putra | Kost Mahdis House Telkom Tipe A | Dayeuhkolot | WiFi·Kasur | Diskon 102rb | Rp875.000 | Rp773.000 | (Bulan pertama)
Bandung,Kost Cisitu Indah V Tipe C,Putra,5.0,Coblong,WiFi·Kasur,Rp925.000,Rp835.000,Putra | 5.0 | Kost Cisitu Indah V Tipe C | Coblong | WiFi·Kasur | Diskon 90rb | Rp925.000 | Rp835.000 | (Bulan pertama)
Bandung,Kost Pikitdro 22 Tipe D,Putra,,Cibeunying Kaler,WiFi·Kasur,Rp775.000,Rp685.000,Putra | Kost Pikitdro 22 Tipe D | Cibeunying Kaler | WiFi·Kasur | Diskon 90rb | Rp775.000 | Rp685.000 | (Bulan pertama)
Bandung,Kost Oemah Ambo Tipe A Mekar Rahayu,Putri,4.8,Margaasih,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.315.000,Rp1.250.500,Putri | 4.8 | Sisa 1 kamar | Kost Oemah Ambo Tipe A Mekar Rahayu | Margaasih | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 65rb | Rp1.315.000 | Rp1.250.500 | (Bulan pertama)
Bandung,Kost Sukarta Tipe D Tegallega,Putra,,Regol,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.375.000,Rp1.253.500,Putra | Sisa 1 kamar | Kost Sukarta Tipe D Tegallega | Regol | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 122rb | Rp1.375.000 | Rp1.253.500 | (Bulan pertama)
Bandung,Kost Sadang Green Tipe C,Campur,4.8,Coblong,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.425.000,Rp1.355.000,Campur | 4.8 | Sisa 1 kamar | Kost Sadang Green Tipe C | Coblong | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 70rb | Rp1.425.000 | Rp1.355.000 | (Bulan pertama)
Bandung,Kost Safana UNPAD Tipe A,Putri,4.6,Jatinangor,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp975.000,Rp870.500,Putri | 4.6 | Sisa 1 kamar | Kost Safana UNPAD Tipe A | Jatinangor | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 105rb | Rp975.000 | Rp870.500 | (Bulan pertama)
Bandung,Kost Lusya Cihampelas Walk Tipe A,Putri,4.8,Kecamatan Sukajadi,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,Rp1.069.000,Rp964.600,Putri | 4.8 | Sisa 1 kamar | Kost Lusya Cihampelas Walk Tipe A | Kecamatan Sukajadi | K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam | Diskon 104rb | Rp1.069.000 | Rp964.600 | (Bulan pertama)
Bandung,Kost Vara Stay Tipe A,Campur,,Bojongloa Kidul,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.625.000,Rp2.391.000,Campur | Sisa 1 kamar | Kost Vara Stay Tipe A | Bojongloa Kidul | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 234rb | Rp2.625.000 | Rp2.391.000 | (Bulan pertama)
Tangerang,Kost STAN Rain Tipe A,Campur,4.9,PONDOK AREN,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp1.495.000,Campur | 4.9 | Sisa 1 kamar | Kost STAN Rain Tipe A | PONDOK AREN | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Rp1.495.000 | /bulan
Tangerang,Kost Wisma Serasi Tipe A,Campur,4.6,Serpong,K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam,Rp1.475.000,Rp1.417.000,Campur | 4.6 | Sisa 3 kamar | Kost Wisma Serasi Tipe A | Serpong | K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam | Diskon 58rb | Rp1.475.000 | Rp1.417.000 | (Bulan pertama)
Tangerang,Kost Muhajar 50 Tipe B,Putri,4.6,Kebon Jeruk,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.125.000,Rp2.041.000,Putri | 4.6 | Sisa 3 kamar | Kost Muhajar 50 Tipe B | Kebon Jeruk | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 84rb | Rp2.125.000 | Rp2.041.000 | (Bulan pertama)
Tangerang,Kost Bluhaus Meruya Tipe B,Campur,4.8,Kembangan,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.925.000,Rp1.849.000,Campur | 4.8 | Sisa 2 kamar | Kost Bluhaus Meruya Tipe B | Kembangan | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 76rb | Rp1.925.000 | Rp1.849.000 | (Bulan pertama)
Tangerang,Kost Muhajar 50 Tipe A,Putri,4.8,Kebon Jeruk,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.225.000,Rp2.137.000,Putri | 4.8 | Sisa 1 kamar | Kost Muhajar 50 Tipe A | Kebon Jeruk | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 88rb | Rp2.225.000 | Rp2.137.000 | (Bulan pertama)
Tangerang,Kost Pakulonan Tipe A Gading Tangerang,Putra,4.6,Serpong,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.225.000,Rp1.177.000,Putra | 4.6 | Kost Pakulonan Tipe A Gading Tangerang | Serpong | WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 48rb | Rp1.225.000 | Rp1.177.000 | (Bulan pertama)
Tangerang,Kost Pondok Ardhan Tipe B,Putri,4.9,Pondok Aren,WiFi·Kasur,Rp775.000,Rp692.500,Putri | 4.9 | Kost Pondok Ardhan Tipe B | Pondok Aren | WiFi·Kasur | Diskon 83rb | Rp775.000 | Rp692.500 | (Bulan pertama)
Tangerang,Kost Chika 19 Tipe A,Putri,4.5,Pondok Aren,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp2.175.000,Rp1.981.500,Putri | 4.5 | Kost Chika 19 Tipe A | Pondok Aren | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 194rb | Rp2.175.000 | Rp1.981.500 | (Bulan pertama)
Tangerang,Kost Maysa Gunung Raya Tipe A Timur,Campur,4.8,Ciputat,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.875.000,Rp1.727.000,Campur | 4.8 | Kost Maysa Gunung Raya Tipe A Timur | Ciputat | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 148rb | Rp1.875.000 | Rp1.727.000 | (Bulan pertama)
Tangerang,Kost Pondok Ardhan Tipe A,Putri,4.1,Pondok Aren,K. Mandi Dalam·WiFi·AC·Kasur,Rp1.129.300,Rp1.007.827,Putri | 4.1 | Kost Pondok Ardhan Tipe A | Pondok Aren | K. Mandi Dalam·WiFi·AC·Kasur | Diskon 121rb | Rp1.129.300 | Rp1.007.827 | (Bulan pertama)
Tangerang,Kost BSD Anggrek Jingga 1 Tipe A,Putra,4.8,Serpong,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.125.000,Rp2.041.000,Putra | 4.8 | Kost BSD Anggrek Jingga 1 Tipe A | Serpong | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 84rb | Rp2.125.000 | Rp2.041.000 | (Bulan pertama)
Tangerang,Kost Gardena Utama 5 Tipe C Kalideres,Campur,4.8,Kali Deres,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.650.000,Rp1.584.000,Campur | 4.8 | Sisa 1 kamar | Kost Gardena Utama 5 Tipe C Kalideres | Kali Deres | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 66rb | Rp1.650.000 | Rp1.584.000 | (Bulan pertama)
Tangerang,Kost Gardena Utama 5 Tipe A Kalideres,Campur,5.0,Kali Deres,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.875.000,Rp1.800.000,Campur | 5.0 | Sisa 1 kamar | Kost Gardena Utama 5 Tipe A Kalideres | Kali Deres | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 75rb | Rp1.875.000 | Rp1.800.000 | (Bulan pertama)
Tangerang,Kost Sawo Fatmawati Tipe A,Putri,4.5,Kebayoran Baru,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.275.000,Putri | 4.5 | Sisa 1 kamar | Kost Sawo Fatmawati Tipe A | Kebayoran Baru | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Rp2.275.000 | /bulan
